PG.ProteinAccessions,PG.Genes,PG.ProteinNames,[1] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-1.htrms.PG.Quantity,[2] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-2.htrms.PG.Quantity,[3] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-3.htrms.PG.Quantity,[4] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-4.htrms.PG.Quantity,[5] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-5.htrms.PG.Quantity,[6] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-6.htrms.PG.Quantity,[7] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-7.htrms.PG.Quantity,[8] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-8.htrms.PG.Quantity,[9] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-9.htrms.PG.Quantity,[10] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-10.htrms.PG.Quantity,[11] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-11.htrms.PG.Quantity,[12] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-12.htrms.PG.Quantity,[13] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-13.htrms.PG.Quantity,[14] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-14.htrms.PG.Quantity,[15] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-15.htrms.PG.Quantity,[16] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-16.htrms.PG.Quantity,[17] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-17.htrms.PG.Quantity,[18] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-18.htrms.PG.Quantity,[19] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-19.htrms.PG.Quantity,[20] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-19b.htrms.PG.Quantity,[21] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-20.htrms.PG.Quantity,[22] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-21.htrms.PG.Quantity,[23] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-22.htrms.PG.Quantity,[24] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-23.htrms.PG.Quantity,[25] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-24.htrms.PG.Quantity,[26] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-25.htrms.PG.Quantity,[27] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-26.htrms.PG.Quantity,[28] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-27.htrms.PG.Quantity,[29] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-28.htrms.PG.Quantity,[30] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-29.htrms.PG.Quantity,[31] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-29b.htrms.PG.Quantity,[32] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-30.htrms.PG.Quantity,[33] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-31.htrms.PG.Quantity,[34] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-32.htrms.PG.Quantity,[35] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-33.htrms.PG.Quantity,[36] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-34.htrms.PG.Quantity,[37] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-35.htrms.PG.Quantity,[38] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-36.htrms.PG.Quantity,[39] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-37.htrms.PG.Quantity,[40] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-38.htrms.PG.Quantity,[41] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-39.htrms.PG.Quantity,[42] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-40.htrms.PG.Quantity
P29034,S100A2,S10A2_HUMAN,,,10057.615234375,,,7602.2578125,,2471.8544921875,,57412.953125,,1840.07678222656,,,5013.3544921875,6364.4189453125,17639.8515625,16003.810546875,,,17248.451171875,6920.16748046875,17908.39453125,2099.28759765625,56244.4765625,,12662.4453125,17957.060546875,,,3869.29956054688,28277.896484375,1581.73083496094,,,,4918.42578125,,,,,52262.37890625
P29401,TKT,TKT_HUMAN,27239.619140625,37261.453125,39749.30859375,16392.236328125,14569.0966796875,40526.27734375,25937.359375,32614.263671875,12385.61328125,54533.515625,37773.30859375,56914.3984375,32740.578125,30841.5234375,22197.12890625,19081.298828125,39508.1796875,39039.5625,32064.431640625,27465.87109375,41967.921875,24430.5859375,34789.578125,31268.892578125,44058.88671875,44038.93359375,32168.26171875,35191.77734375,30070.2734375,30779.34765625,31249.427734375,43900.3359375,16598.5546875,29680.216796875,28755.20703125,16385.9765625,33574.78515625,25374.841796875,19552.119140625,23367.43359375,19548.236328125,41487.7734375
P29508,SERPINB3,SPB3_HUMAN,2675.83325195313,304538.84375,460005.84375,,13681.6123046875,739164.125,8255.021484375,205479.546875,7400.35107421875,533261.0625,,239877.203125,81911.0078125,210935.703125,8836.8427734375,170115.03125,633876.75,243951.6875,216004.171875,63723.890625,159228.328125,177556.359375,293681.0,142797.9375,439636.1875,13923.3134765625,182212.03125,282036.34375,36992.23828125,54669.5,62432.8046875,326991.65625,323931.4375,215100.640625,,16844.09375,233033.421875,5332.56689453125,10208.814453125,2276.46533203125,,264143.25
P29622,SERPINA4,KAIN_HUMAN,13902984.0,11699840.0,7869319.5,15362006.0,10711175.0,7358806.0,8749862.0,9094683.0,11294576.0,4422651.5,6939514.0,6077103.0,6079757.0,9503282.0,6260392.5,8121637.0,8084476.5,9761444.0,8173685.0,8098570.5,4946347.5,6089704.5,5302291.0,9456934.0,5616367.5,7817561.5,4488720.0,5514103.0,9447801.0,7832349.0,8663195.0,4257644.0,7108130.5,5065537.5,11285118.0,8371609.0,5404309.5,8815044.0,8800283.0,8478984.0,7063389.0,6219152.0
P30041,PRDX6,PRDX6_HUMAN,48266.0703125,93980.7109375,,,,18929.865234375,41726.1796875,,,,96019.3359375,22863.68359375,15192.30859375,,10365.0947265625,26937.6640625,18733.41796875,36431.19140625,43930.234375,,40483.9609375,12457.138671875,15517.08984375,41522.63671875,84294.984375,90607.359375,27542.78515625,10930.3671875,,75491.1484375,56784.296875,33796.76953125,,77295.3203125,25468.69140625,23546.02734375,62416.3125,41448.5625,24917.623046875,35607.01171875,,67117.9375
P30043,BLVRB,BLVRB_HUMAN,135564.28125,49160.00390625,10970.2275390625,48986.7734375,30441.189453125,,46749.390625,63151.71875,49909.79296875,,881940.4375,157027.875,184339.53125,133984.140625,125757.5078125,95332.9921875,130923.4921875,218685.203125,132759.890625,132010.4375,92008.640625,52277.9140625,100308.8046875,78482.5234375,154368.65625,170406.46875,148264.765625,61937.453125,159700.765625,87919.984375,102243.96875,90454.71875,16312.4619140625,533926.75,144700.5625,119535.578125,177434.75,170264.734375,364329.125,179833.96875,84221.9140625,108039.0
P30086,PEBP1,PEBP1_HUMAN,,15109.265625,12426.8603515625,,,,,10531.693359375,,38825.64453125,21381.421875,30140.548828125,12299.509765625,11637.2451171875,13678.31640625,10300.1884765625,14640.3466796875,14990.169921875,11031.51953125,,10877.7451171875,10441.9990234375,15839.00390625,14138.830078125,42598.48828125,14544.6650390625,15288.6015625,21177.57421875,12424.650390625,,,28122.62890625,1837.17504882813,14205.265625,,,12981.7568359375,9175.7333984375,12455.16015625,,,19860.58984375
P30101,PDIA3,PDIA3_HUMAN,,87824.078125,3550.20336914063,23648.6015625,5920.0498046875,44389.31640625,49303.23046875,29571.28515625,35662.72265625,41407.81640625,40911.64453125,37925.0859375,51956.3671875,,14055.759765625,29576.87890625,15563.9931640625,5016.95263671875,39331.1953125,21697.3046875,,4730.337890625,,31772.041015625,79927.4921875,57870.6328125,6115.88232421875,24493.306640625,22816.302734375,4594.51953125,12820.3896484375,21172.548828125,4979.23095703125,149600.734375,14430.7109375,38403.4765625,36716.328125,43368.4375,33269.9609375,,15314.541015625,42111.859375
P30530,AXL,UFO_HUMAN,73294.4140625,111451.7890625,120326.4375,71765.7734375,185529.625,42353.13671875,83074.703125,71199.03125,86169.28125,36958.9296875,149857.375,44157.2109375,54323.515625,82551.453125,,35693.74609375,32111.26171875,41999.19921875,101209.546875,89257.6875,30663.025390625,42066.1328125,35603.3828125,64185.6328125,45032.61328125,91835.8203125,36637.69140625,44706.84375,48336.640625,67694.4765625,38251.58984375,109506.671875,61026.98046875,44726.8515625,163355.25,49291.75390625,48951.421875,46562.7890625,27605.724609375,60348.16796875,14095.7431640625,39217.171875
P31025,LCN1,LCN1_HUMAN,,,,,,,,,,177705.0625,,1.0,1.0,,,,652.233032226563,,,,,,,1022.06939697266,1114.47998046875,,,1.0,,,,,,,,,157021.703125,,,,,
